Busin_and_Indus,Finance,Law_and_Gov,Health,Travel
0.03188219835496331,0.006635319658184313,-0.010635272675741936,0.011699550124221192,-0.040298594205815275
-0.08254696149021523,-0.02182594023107498,-0.04961273651938203,-0.04657992502269326,0.08418072834104029
-0.02887838898262718,0.0496924475440641,0.03513390770457292,0.006591884369842038,0.1431880511269361
0.002488026375175423,0.01233831828353571,-0.052837105514823124,0.011152618907191325,0.014565011123092164
0.06507112597785492,-0.017843391524135943,0.05648831605920379,0.025619178951469257,-0.09451476193786923
0.03967371637286754,-0.03723914483529611,0.05957233725542599,-0.03608603676618993,-0.16567281243153165
-0.030062937268314216,-0.02399420757237325,-0.026174299331124917,0.01458148935096526,-0.08028542937728467
-0.0539605292112163,-0.0324624295649234,-0.02349296041396287,-0.09159843427417769,-0.03731967411498793
-0.04275726123982737,0.03971350217979297,0.18990973860209093,-0.03916757553430439,0.09092109489320932
0.13708200443965235,0.016382093048964874,0.367709637100174,0.24742501739668676,0.03948442423209664
0.030051821183819216,0.03906956245051063,-0.32416562331194965,-0.0203406982817792,0.07763551322068918
-0.014248476108754904,-0.012290958990206824,-0.09327365580229374,0.011375970683959125,0.10215097628606817
0.00043424030614680476,-0.00660174494840271,-0.015810333823840894,-0.04986130941534983,-0.12988731947368748
-0.07437543398624147,-0.006389524146560799,0.052563795729775764,-0.031127895620774892,0.1478435589054381
-0.006305436150678356,0.06611034380115521,-0.08730528565831364,-0.008771073209313696,0.15049639163574446
0.020717378485259452,0.021609334777835665,-0.02428120372181386,0.048458900486506584,0.004976847388885375
0.07420099299328542,0.01013823461907637,0.0688626450868719,-0.0009226087108549219,-0.11286039580466778
0.03718371190842551,-0.0657297099959332,0.10548354565338869,0.006293234224654887,-0.04338725174452707
-0.05124885275517321,-0.028242889886477607,-0.06777170104900765,-0.03554554545831379,-0.09503111214465398
-0.013156045674881489,-0.010766038868980088,-0.011524545367540884,-0.020430500438616717,0.007742739520192554
-0.07624908626692628,0.02926437421646244,-0.01619060985029752,-0.06849111218195336,0.14267281240459084
0.14675139601260834,0.04430983420457957,0.10010876285318382,0.23484017213069008,0.10412034471277787
0.0550333361045241,0.017832352388240658,-0.05122751360899813,-0.00974910497347159,-0.034486548880939605
-0.1313946427169721,-0.06823924767184708,0.2999330130343123,-0.03225925226245585,-0.30774581529022527
0.01239475659414535,0.01671449250448176,-0.28906656030496836,-0.12956005955297367,-0.35841474471598067
-0.015503056995020192,-0.07957978087759032,0.034319598975874,0.011765962337024094,0.37829455773870113
0.03193418485652866,0.062424052147801445,-0.0401308700329267,0.04700041845169167,0.31354697485372873
0.04224867088123885,0.013646481540715127,-0.065016634818159,0.06150330991931363,-0.032572618133788867
0.009167981692326688,-0.042755513017954994,0.04838445136952618,-0.06088547548946577,-0.03388011169262395
0.0003919091054067625,-0.05442570927538393,0.16656832526369292,0.002301543136739026,-0.06072578626244596
-0.02930494336830325,0.04757307703591107,-0.11930430407713799,0.0035643198564159206,0.06013984912135051
-0.08711256218895425,-0.021368487786645574,-0.038142217881610097,-0.08717048148734141,-0.166284512844868
-0.03782821526156954,0.021474214642419165,-0.055701531849704944,-0.04580481533078917,0.09675225563046297
0.11924360128894307,0.09800087226405019,0.1953439263911887,0.2502187100393669,0.03457586802817647
0.05268586456701185,-0.008860571823863683,-0.16987346076025955,-0.013099162272724452,0.21561295842252548
-0.09179156323445703,0.012447289062252453,0.0005319809596626701,-0.009396740730984399,0.28502160802613097
0.08351701718078397,-0.02847192501294149,-0.01078937661379542,-0.021260088417453082,0.07794260052146562
0.0286310217199377,0.0069788834398822885,-0.007439172182343801,-0.04642823795506967,-0.009001137227994227
-0.04940547916563898,-0.003677899392133366,-0.09905890750619872,-0.04389919232398842,0.04214783877076944
-0.02323008144632277,-0.015440647694925036,0.038813805428348,0.04943553100331122,-0.009718404631571365
0.05825712347794543,-0.027886051634809617,0.12038134150493707,0.06622511354579808,-0.13133214021923167
0.01903914633524839,0.007171834408194799,0.07352833115077395,-0.021359616515197133,-0.08349164633164041
0.03244413115421674,0.03414954342026544,-0.08313976037078374,0.006099805066914099,-0.036710942655831635
-0.0731389331457808,-0.046064318038343544,-0.05236839219095113,-0.05181118909722815,-0.07724362936386653
-0.12128519287350825,-0.0319420686577222,-0.08425476721998426,-0.026599615684375078,-0.049970960714350365
0.10207096924545112,0.038423816118275944,0.21648988595297358,0.1550980287249435,-0.11706135196060363
0.08897300977603417,0.06990680615435174,0.1818509534235473,0.01692494883436968,0.21030996565581184
0.004587771973304955,-0.025211354415406118,-0.05528811086797958,-0.020225984835082422,0.047981202656284694
0.03398220987750866,-0.03700704497527607,-0.00608926280637212,0.0009220507491121133,-0.05495047714945678
-0.07495650489613415,-0.028818074454984743,-0.006175304138094084,-0.027995882482069856,0.004906541814291732
-0.015200859299491554,0.07139192605971822,-0.003645278192283108,-0.02664383584175989,0.12497078834021669
0.027741932836872873,0.008147995310469502,-0.09293167019690896,0.019644771046461784,0.017077156902946644
0.05820599487883982,-0.04312885458601401,0.07236770783113688,0.03684987080029467,-0.0772192188649311
-0.015920384885318106,-0.055165112713293385,0.07142117793189073,-0.024567461085928555,-0.13678387914222767
0.00939723961071981,0.02813693374167925,-0.04841923485653521,0.022673339476780408,-0.07242370919917707
-0.08689902506314229,-0.06076260529069488,-0.08287964449407903,-0.07575052243567593,-0.05908012248554073
0.0038443052220509255,0.02274206871612816,-0.02757643434732371,-0.05252532673810417,0.09257964602828594
