,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,
A S S E T S,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
a) Money ( M1 ),1363106.07,1383959.336,1361592.673,1405903.275,1400363.217,1425555.505,1434615.836,1393103.973,1379543.791,1436427.596,1409608.807,1477525.708,1464557.056,1461011.807,1520262.763,1501684.901,1495746.765,1575495.854,1510782.32,1469142.115,1459728.92,1479013.547,1460222.585,1525236.928,1524030.458,1568051.772,1595106.803,1595267.565,1602094.364,1692918.853,1682535.391,1655723.261,1665778.326,1741975.288,1759898.266,1720132.422,1716363.534,1734582.19,1716744.319,1718770.739,1726767.726,1779227.268,1788030.943,1821012.514,1770790.524,1827518.727,1822002.595,1848085.772,1793436.012,1832389.01,1796328.641,1866646.041,1860806.991,1906847.797,2010073.99,1910393.489,1916061.206,1912706.081,1901979.565,1967094.285
