类别：工商业

周,农业: (美国),航空航天: (美国)
2018-03-04,82,12
2018-03-11,76,10
2018-03-18,80,10
2018-03-25,74,11
2018-04-01,78,10
2018-04-08,79,11
2018-04-15,80,11
2018-04-22,80,10
2018-04-29,72,11
2018-05-06,78,12
2018-05-13,71,10
2018-05-20,64,12
2018-05-27,61,10
2018-06-03,59,11
2018-06-10,59,11
2018-06-17,56,12
2018-06-24,56,10
2018-07-01,53,9
2018-07-08,59,10
2018-07-15,60,10
2018-07-22,59,12
2018-07-29,62,12
2018-08-05,64,11
2018-08-12,63,12
2018-08-19,70,11
2018-08-26,78,11
2018-09-02,72,9
2018-09-09,76,13
2018-09-16,77,12
2018-09-23,79,12
2018-09-30,71,12
2018-10-07,77,11
2018-10-14,73,10
2018-10-21,77,10
2018-10-28,73,10
2018-11-04,75,10
2018-11-11,67,10
2018-11-18,56,7
2018-11-25,72,11
2018-12-02,74,11
2018-12-09,73,11
2018-12-16,64,10
2018-12-23,48,6
2018-12-30,59,9
2019-01-06,76,12
2019-01-13,82,12
2019-01-20,75,11
2019-01-27,83,12
2019-02-03,79,11
2019-02-10,84,12
2019-02-17,81,12
2019-02-24,85,12
2019-03-03,84,11
2019-03-10,75,11
2019-03-17,80,12
2019-03-24,78,12
2019-03-31,85,12
2019-04-07,82,11
2019-04-14,75,11
2019-04-21,80,12
2019-04-28,81,12
2019-05-05,76,12
2019-05-12,78,10
2019-05-19,73,11
2019-05-26,65,9
2019-06-02,63,11
2019-06-09,64,11
2019-06-16,62,12
2019-06-23,61,12
2019-06-30,56,9
2019-07-07,60,11
2019-07-14,60,12
2019-07-21,61,12
2019-07-28,61,11
2019-08-04,65,10
2019-08-11,68,12
2019-08-18,76,12
2019-08-25,72,12
2019-09-01,71,11
2019-09-08,78,12
2019-09-15,80,13
2019-09-22,82,12
2019-09-29,81,13
2019-10-06,78,13
2019-10-13,74,12
2019-10-20,79,12
2019-10-27,70,11
2019-11-03,78,11
2019-11-10,72,12
2019-11-17,71,12
2019-11-24,52,7
2019-12-01,72,10
2019-12-08,71,10
2019-12-15,66,10
2019-12-22,49,7
2019-12-29,54,9
2020-01-05,71,13
2020-01-12,79,12
2020-01-19,74,13
2020-01-26,80,12
2020-02-02,84,13
2020-02-09,81,13
2020-02-16,88,12
2020-02-23,83,12
2020-03-01,82,12
2020-03-08,72,10
2020-03-15,62,9
2020-03-22,74,9
2020-03-29,87,10
2020-04-05,79,10
2020-04-12,69,9
2020-04-19,81,11
2020-04-26,84,9
2020-05-03,85,12
2020-05-10,82,10
2020-05-17,77,11
2020-05-24,65,11
2020-05-31,62,10
2020-06-07,65,11
2020-06-14,63,11
2020-06-21,62,11
2020-06-28,61,11
2020-07-05,64,10
2020-07-12,61,10
2020-07-19,62,11
2020-07-26,65,11
2020-08-02,60,11
2020-08-09,62,11
2020-08-16,69,11
2020-08-23,73,11
2020-08-30,77,10
2020-09-06,74,10
2020-09-13,82,12
2020-09-20,81,11
2020-09-27,74,12
2020-10-04,73,11
2020-10-11,66,10
2020-10-18,69,11
2020-10-25,66,10
2020-11-01,54,9
2020-11-08,65,10
2020-11-15,66,11
2020-11-22,57,8
2020-11-29,65,10
2020-12-06,65,9
2020-12-13,61,9
2020-12-20,51,7
2020-12-27,52,6
2021-01-03,64,9
2021-01-10,66,9
2021-01-17,69,9
2021-01-24,68,11
2021-01-31,77,11
2021-02-07,73,10
2021-02-14,71,10
2021-02-21,79,11
2021-02-28,77,11
2021-03-07,73,10
2021-03-14,64,10
2021-03-21,68,9
2021-03-28,65,10
2021-04-04,66,10
2021-04-11,68,11
2021-04-18,70,10
2021-04-25,74,10
2021-05-02,66,10
2021-05-09,67,10
2021-05-16,66,9
2021-05-23,67,11
2021-05-30,57,10
2021-06-06,56,12
2021-06-13,60,10
2021-06-20,56,9
2021-06-27,60,10
2021-07-04,58,9
2021-07-11,55,12
2021-07-18,59,11
2021-07-25,60,11
2021-08-01,58,10
2021-08-08,59,10
2021-08-15,62,10
2021-08-22,65,11
2021-08-29,67,13
2021-09-05,67,10
2021-09-12,64,10
2021-09-19,65,10
2021-09-26,68,11
2021-10-03,65,11
2021-10-10,68,11
2021-10-17,69,11
2021-10-24,69,11
2021-10-31,67,10
2021-11-07,66,11
2021-11-14,62,10
2021-11-21,52,8
2021-11-28,64,10
2021-12-05,61,10
2021-12-12,59,10
2021-12-19,46,8
2021-12-26,52,7
2022-01-02,69,11
2022-01-09,68,11
2022-01-16,67,10
2022-01-23,73,13
2022-01-30,74,12
2022-02-06,82,12
2022-02-13,81,11
2022-02-20,76,11
2022-02-27,78,12
2022-03-06,76,13
2022-03-13,73,12
2022-03-20,75,13
2022-03-27,81,13
2022-04-03,81,11
2022-04-10,76,12
2022-04-17,80,12
2022-04-24,88,12
2022-05-01,100,12
2022-05-08,81,12
2022-05-15,73,12
2022-05-22,69,10
2022-05-29,63,10
2022-06-05,59,10
2022-06-12,59,11
2022-06-19,60,10
2022-06-26,60,12
2022-07-03,61,10
2022-07-10,61,11
2022-07-17,65,12
2022-07-24,61,12
2022-07-31,63,11
2022-08-07,65,11
2022-08-14,70,12
2022-08-21,75,13
2022-08-28,73,12
2022-09-04,72,11
2022-09-11,78,13
2022-09-18,76,13
2022-09-25,70,12
2022-10-02,74,13
2022-10-09,73,12
2022-10-16,75,13
2022-10-23,73,15
2022-10-30,73,15
2022-11-06,66,13
2022-11-13,72,13
2022-11-20,54,8
2022-11-27,71,12
2022-12-04,72,11
2022-12-11,68,11
2022-12-18,55,8
2022-12-25,56,7
2023-01-01,69,11
2023-01-08,85,14
2023-01-15,95,11
2023-01-22,87,13
2023-01-29,89,13
2023-02-05,91,13
2023-02-12,89,13
2023-02-19,84,12
