index,Law_and_Gov
2018-03-31,107.43349358974359
2018-04-30,106.2909090909091
2018-05-31,101.01752622377623
2018-06-30,104.56666666666666
2018-07-31,99.04166666666666
2018-08-31,104.63636363636363
2018-09-30,110.86979638009049
2018-10-31,107.96785714285714
2018-11-30,105.4313725490196
2018-12-31,125.45381695026356
2019-01-31,171.58439445387663
2019-02-28,115.96263227513228
2019-03-31,105.14637362637363
2019-04-30,103.48397435897436
2019-05-31,108.92348484848485
2019-06-30,99.41388888888889
2019-07-31,97.0
2019-08-31,103.67967657342658
2019-09-30,114.61617647058821
2019-10-31,106.84844322344321
2019-11-30,105.6170634920635
2019-12-31,103.90705882352941
2020-01-31,114.30906593406594
2020-02-29,108.4532967032967
2020-03-31,140.98202075702073
2020-04-30,100.2288329519451
2020-05-31,103.66864630467572
2020-06-30,99.50833333333333
2020-07-31,93.03863636363636
2020-08-31,97.54025974025974
2020-09-30,113.7873774509804
2020-10-31,100.21205357142857
2020-11-30,96.38974358974357
2020-12-31,91.02068721719456
2021-01-31,108.80102564102565
2021-02-28,90.31861888111888
2021-03-31,90.36666666666666
2021-04-30,89.39166666666667
2021-05-31,88.72666666666666
2021-06-30,79.9375
2021-07-31,83.04017857142858
2021-08-31,93.03666666666666
2021-09-30,99.8774975024975
2021-10-31,91.5737062937063
2021-11-30,86.77813852813853
2021-12-31,79.46666666666667
2022-01-31,96.67039627039627
2022-02-28,114.25
2022-03-31,107.93333333333334
2022-04-30,107.2760989010989
2022-05-31,106.61363636363635
2022-06-30,106.225
2022-07-31,96.35333333333334
2022-08-31,103.32620320855615
2022-09-30,110.70588235294117
2022-10-31,105.34558823529412
2022-11-30,96.61458333333333
2022-12-31,93.95029761904762
2023-01-31,103.89494949494949
2023-02-28,105.29318394024277
