,index,Travel
0,2018-03-31,
1,2018-04-30,-0.040298594205815386
2,2018-05-31,0.08418072834104051
3,2018-06-30,0.1431880511269361
4,2018-07-31,0.014565011123092164
5,2018-08-31,-0.09451476193786923
6,2018-09-30,-0.16567281243153142
7,2018-10-31,-0.080285429377285
8,2018-11-30,-0.03731967411498771
9,2018-12-31,0.0909210948932091
10,2019-01-31,0.03948442423209664
11,2019-02-28,0.07763551322068918
12,2019-03-31,0.10215097628606817
13,2019-04-30,-0.12988731947368737
14,2019-05-31,0.1478435589054381
15,2019-06-30,0.15049639163574446
16,2019-07-31,0.004976847388885375
17,2019-08-31,-0.11286039580466778
18,2019-09-30,-0.04338725174452707
19,2019-10-31,-0.09503111214465398
20,2019-11-30,0.007742739520192554
21,2019-12-31,0.14267281240459084
22,2020-01-31,0.10412034471277831
23,2020-02-29,-0.03448654888093994
24,2020-03-31,-0.30774581529022527
25,2020-04-30,-0.35841474471598056
26,2020-05-31,0.37829455773870113
27,2020-06-30,0.31354697485372873
28,2020-07-31,-0.032572618133788755
29,2020-08-31,-0.03388011169262395
30,2020-09-30,-0.06072578626244607
31,2020-10-31,0.06013984912135051
32,2020-11-30,-0.166284512844868
33,2020-12-31,0.09675225563046319
34,2021-01-31,0.03457586802817625
35,2021-02-28,0.2156129584225257
36,2021-03-31,0.28502160802613097
37,2021-04-30,0.07794260052146562
38,2021-05-31,-0.009001137227994449
39,2021-06-30,0.04214783877076966
40,2021-07-31,-0.009718404631571365
41,2021-08-31,-0.13133214021923179
42,2021-09-30,-0.08349164633164041
43,2021-10-31,-0.036710942655831524
44,2021-11-30,-0.07724362936386686
45,2021-12-31,-0.049970960714350254
46,2022-01-31,-0.11706135196060363
47,2022-02-28,0.21030996565581206
48,2022-03-31,0.047981202656284694
49,2022-04-30,-0.05495047714945689
50,2022-05-31,0.004906541814291732
51,2022-06-30,0.12497078834021691
52,2022-07-31,0.017077156902946644
53,2022-08-31,-0.0772192188649311
54,2022-09-30,-0.1367838791422279
55,2022-10-31,-0.07242370919917696
56,2022-11-30,-0.05908012248554084
57,2022-12-31,0.09257964602828594
58,2023-01-31,0.0440707960923572
59,2023-02-28,0.004514927938497504
