index,Finance
2018-03-31,324.7446080233466
2018-04-30,326.89939230485334
2018-05-31,319.7645057068329
2018-06-30,335.6543866331233
2018-07-31,339.79579728866776
2018-08-31,333.7326878393901
2018-09-30,321.30476794066635
2018-10-31,313.5953146447049
2018-11-30,303.4152488311611
2018-12-31,315.4649309769999
2019-01-31,320.6329068299504
2019-02-28,333.1598942070318
2019-03-31,329.06503961015153
2019-04-30,326.89263614720926
2019-05-31,324.80394775521376
2019-06-30,346.2768484092834
2019-07-31,353.75966075237346
2019-08-31,357.34615919184586
2019-09-30,333.8578997800052
2019-10-31,324.42878787878783
2019-11-30,320.9359749382687
2019-12-31,330.32796540838746
2020-01-31,344.9647427887691
2020-02-29,351.1162756436973
2020-03-31,327.15636514843055
2020-04-30,332.62461776149746
2020-05-31,306.15442356554513
2020-06-30,325.26582326748087
2020-07-31,329.70455732052596
2020-08-31,315.60786982792916
2020-09-30,298.4306876596511
2020-10-31,312.62795375356353
2020-11-30,305.94756714201657
2020-12-31,312.5175508681502
2021-01-31,343.1445434510536
2021-02-28,340.1040865778387
2021-03-31,344.3374604547263
2021-04-30,334.5335101015127
2021-05-31,336.8681804752458
2021-06-30,335.62921319904683
2021-07-31,330.44688076191545
2021-08-31,321.2320219824269
2021-09-30,323.53584485069445
2021-10-31,334.5844462324355
2021-11-30,319.1720418905015
2021-12-31,308.97702661480974
2022-01-31,320.84910307022886
2022-02-28,343.278639123357
2022-03-31,334.62411968917974
2022-04-30,322.2406698420301
2022-05-31,312.95431422609835
2022-06-30,335.2967254873978
2022-07-31,338.0287216342849
2022-08-31,323.44993005302354
2022-09-30,305.6067782045417
2022-10-31,314.205615873891
2022-11-30,295.11366405642605
2022-12-31,301.8251592834657
2023-01-31,330.58426285509245
2023-02-28,328.11545998959417
