,index,Finance
0,2018-03-31,
1,2018-04-30,0.006635319658184535
2,2018-05-31,-0.02182594023107476
3,2018-06-30,0.0496924475440641
4,2018-07-31,0.012338318283535932
5,2018-08-31,-0.017843391524136054
6,2018-09-30,-0.03723914483529622
7,2018-10-31,-0.023994207572372916
8,2018-11-30,-0.032462429564923845
9,2018-12-31,0.03971350217979319
10,2019-01-31,0.016382093048964874
11,2019-02-28,0.03906956245051041
12,2019-03-31,-0.012290958990206602
13,2019-04-30,-0.006601744948403043
14,2019-05-31,-0.006389524146560799
15,2019-06-30,0.06611034380115521
16,2019-07-31,0.021609334777835665
17,2019-08-31,0.01013823461907637
18,2019-09-30,-0.0657297099959333
19,2019-10-31,-0.028242889886477718
20,2019-11-30,-0.010766038868979977
21,2019-12-31,0.02926437421646244
22,2020-01-31,0.044309834204579346
23,2020-02-29,0.01783235238824088
24,2020-03-31,-0.06823924767184708
25,2020-04-30,0.01671449250448176
26,2020-05-31,-0.07957978087759043
27,2020-06-30,0.062424052147801445
28,2020-07-31,0.013646481540715127
29,2020-08-31,-0.04275551301795477
30,2020-09-30,-0.05442570927538404
31,2020-10-31,0.04757307703591107
32,2020-11-30,-0.021368487786645685
33,2020-12-31,0.021474214642419165
34,2021-01-31,0.09800087226405041
35,2021-02-28,-0.008860571823863461
36,2021-03-31,0.01244728906225201
37,2021-04-30,-0.028471925012941157
38,2021-05-31,0.0069788834398820665
39,2021-06-30,-0.003677899392133477
40,2021-07-31,-0.015440647694925036
41,2021-08-31,-0.027886051634809728
42,2021-09-30,0.007171834408194799
43,2021-10-31,0.03414954342026544
44,2021-11-30,-0.046064318038343655
45,2021-12-31,-0.03194206865772187
46,2022-01-31,0.038423816118275944
47,2022-02-28,0.06990680615435174
48,2022-03-31,-0.025211354415406007
49,2022-04-30,-0.03700704497527607
50,2022-05-31,-0.028818074454984743
51,2022-06-30,0.07139192605971822
52,2022-07-31,0.008147995310469502
53,2022-08-31,-0.04312885458601434
54,2022-09-30,-0.05516511271329316
55,2022-10-31,0.02813693374167947
56,2022-11-30,-0.06076260529069499
57,2022-12-31,0.022742068716128383
58,2023-01-31,0.0952839837470838
59,2023-02-28,-0.007467998761273353
