,index,Health
0,2018-03-31,
1,2018-04-30,0.011699550124221192
2,2018-05-31,-0.04657992502269326
3,2018-06-30,0.006591884369842038
4,2018-07-31,0.011152618907191325
5,2018-08-31,0.025619178951469257
6,2018-09-30,-0.03608603676618993
7,2018-10-31,0.014581489350965038
8,2018-11-30,-0.09159843427417746
9,2018-12-31,-0.03916757553430428
10,2019-01-31,0.24742501739668699
11,2019-02-28,-0.020340698281779312
12,2019-03-31,0.011375970683959125
13,2019-04-30,-0.04986130941535005
14,2019-05-31,-0.031127895620774892
15,2019-06-30,-0.008771073209313696
16,2019-07-31,0.048458900486506584
17,2019-08-31,-0.0009226087108549219
18,2019-09-30,0.006293234224654887
19,2019-10-31,-0.035545545458313677
20,2019-11-30,-0.020430500438616717
21,2019-12-31,-0.06849111218195336
22,2020-01-31,0.23484017213069008
23,2020-02-29,-0.00974910497347159
24,2020-03-31,-0.03225925226245585
25,2020-04-30,-0.12956005955297345
26,2020-05-31,0.011765962337024094
27,2020-06-30,0.04700041845169167
28,2020-07-31,0.06150330991931385
29,2020-08-31,-0.06088547548946577
30,2020-09-30,0.002301543136738804
31,2020-10-31,0.0035643198564159206
32,2020-11-30,-0.08717048148734152
33,2020-12-31,-0.04580481533078906
34,2021-01-31,0.25021871003936713
35,2021-02-28,-0.013099162272724563
36,2021-03-31,-0.00939674073098451
37,2021-04-30,-0.02126008841745297
38,2021-05-31,-0.04642823795506967
39,2021-06-30,-0.0438991923239882
40,2021-07-31,0.04943553100331144
41,2021-08-31,0.06622511354579785
42,2021-09-30,-0.021359616515197133
43,2021-10-31,0.006099805066913877
44,2021-11-30,-0.05181118909722815
45,2021-12-31,-0.026599615684374966
46,2022-01-31,0.1550980287249435
47,2022-02-28,0.016924948834369458
48,2022-03-31,-0.02022598483508231
49,2022-04-30,0.0009220507491121133
50,2022-05-31,-0.027995882482069967
51,2022-06-30,-0.026643835841759667
52,2022-07-31,0.019644771046461784
53,2022-08-31,0.03684987080029467
54,2022-09-30,-0.024567461085928444
55,2022-10-31,0.022673339476780185
56,2022-11-30,-0.07575052243567593
57,2022-12-31,-0.05252532673810417
58,2023-01-31,0.18192055304251276
59,2023-02-28,0.01697902820561037
