DATE,IDNCPIALLMINMEI
2018-01-01,109.697867216586
2018-02-01,109.880558592723
2018-03-01,110.096466582702
2018-04-01,110.204420577692
2018-05-01,110.436936874593
2018-06-01,111.084660844532
2018-07-01,111.39191452258
2018-08-01,111.333785448355
2018-09-01,111.134485765297
2018-10-01,111.441739443345
2018-11-01,111.740688967932
2018-12-01,112.429933705175
2019-01-01,112.795316457448
2019-02-01,112.70397076938
2019-03-01,112.828533071291
2019-04-01,113.326782278936
2019-05-01,114.099068550787
2019-06-01,114.730184213804
2019-07-01,115.087262812617
2019-08-01,115.220129267989
2019-09-01,114.90457143648
2019-10-01,114.929483896862
2019-11-01,115.095566966078
2019-12-01,115.485862178733
2020-01-01,115.818028317163
2020-02-01,116.141890302133
2020-03-01,116.252335543161
2020-04-01,116.34114016027
2020-05-01,116.418848937096
2020-06-01,116.629772759885
2020-07-01,116.507658967766
2020-08-01,116.452152658021
2020-09-01,116.396646388884
2020-10-01,116.474355165875
2020-11-01,116.79629152694
2020-12-01,117.318050456867
2021-01-01,117.617784310243
2021-02-01,117.739898102363
2021-03-01,117.839809386461
2021-04-01,117.995226941442
2021-05-01,118.372669571644
2021-06-01,118.183948262356
2021-07-01,118.272758293026
2021-08-01,118.306062051403
2021-09-01,118.261657036109
2021-10-01,118.405973335917
2021-11-01,118.838922235257
2021-12-01,119.516098718835
2022-01-01,120.182173944334
2022-02-01,120.159971436646
2022-03-01,120.948160436245
2022-04-01,122.091589578287
2022-05-01,122.580044746599
2022-06-01,123.32382875291
2022-07-01,124.112017776425
2022-08-01,123.856688938425
2022-09-01,125.299851935837
2022-10-01,125.166636889956
2022-11-01,125.277649428231
2022-12-01,126.099142211368
