DATE,USALORSGPNOSTSAM
1960-01-01,101.011277429908
1960-02-01,101.021621995658
1960-03-01,100.945656913484
1960-04-01,100.785854220435
1960-05-01,100.561201759767
1960-06-01,100.289295032163
1960-07-01,99.9731113148396
1960-08-01,99.6121174905909
1960-09-01,99.2161586452448
1960-10-01,98.8219803976868
1960-11-01,98.476391711144
1960-12-01,98.2197112503289
1961-01-01,98.0660803478774
1961-02-01,98.016365656076
1961-03-01,98.0630371061748
1961-04-01,98.1871128522701
1961-05-01,98.3680210557336
1961-06-01,98.5875016744758
1961-07-01,98.8290830093326
1961-08-01,99.0793918818377
1961-09-01,99.327474468663
1961-10-01,99.5630573791418
1961-11-01,99.7760801868061
1961-12-01,99.956687318511
1962-01-01,100.096411588283
1962-02-01,100.188444341788
1962-03-01,100.230428205917
1962-04-01,100.230245402223
1962-05-01,100.197776269818
1962-06-01,100.139391088551
1962-07-01,100.054524006858
1962-08-01,99.9406060526967
1962-09-01,99.7995816259997
1962-10-01,99.6461487867538
1962-11-01,99.4997915139519
1962-12-01,99.3776216950485
1963-01-01,99.2866496550344
1963-02-01,99.2294936861526
1963-03-01,99.2075560043673
1963-04-01,99.2215126691093
1963-05-01,99.2698803681907
1963-06-01,99.344753840349
1963-07-01,99.4247991903716
1963-08-01,99.4878699871264
1963-09-01,99.5229086073907
1963-10-01,99.5426895724461
1963-11-01,99.5681428818594
1963-12-01,99.6136062255731
1964-01-01,99.6715338247806
1964-02-01,99.7248423804346
1964-03-01,99.7580290239427
1964-04-01,99.7683247838435
1964-05-01,99.7583513791929
1964-06-01,99.7302656010269
1964-07-01,99.6812440154858
1964-08-01,99.609924545037
1964-09-01,99.5241482648255
1964-10-01,99.4500781011638
1964-11-01,99.4175381533887
1964-12-01,99.4446787533405
1965-01-01,99.5197026161677
1965-02-01,99.6204618673821
1965-03-01,99.7302726107612
1965-04-01,99.8517102840157
1965-05-01,99.9975019271212
1965-06-01,100.180530219382
1965-07-01,100.402004069134
1965-08-01,100.656560372673
1965-09-01,100.934448726003
1965-10-01,101.221203301647
1965-11-01,101.498155507026
1965-12-01,101.742222694155
1966-01-01,101.926360554294
1966-02-01,102.026143710086
1966-03-01,102.030637939777
1966-04-01,101.959115740157
1966-05-01,101.842180596031
1966-06-01,101.708497270053
1966-07-01,101.575177418827
1966-08-01,101.450192743659
1966-09-01,101.33498500026
1966-10-01,101.226675107978
1966-11-01,101.119373656877
1966-12-01,101.005210959786
1967-01-01,100.875517084327
1967-02-01,100.724180149779
1967-03-01,100.552303569779
1967-04-01,100.374563386605
1967-05-01,100.210617777152
1967-06-01,100.077341336427
1967-07-01,99.980468185925
1967-08-01,99.9222287735778
1967-09-01,99.9065046266246
1967-10-01,99.9413934541021
1967-11-01,100.035240284962
1967-12-01,100.189237516481
1968-01-01,100.385878329313
1968-02-01,100.599238315331
1968-03-01,100.802275847072
1968-04-01,100.973098510453
1968-05-01,101.095438236844
1968-06-01,101.161549661195
1968-07-01,101.178645967983
1968-08-01,101.161596675249
1968-09-01,101.129264468339
1968-10-01,101.103486242954
1968-11-01,101.101685598246
1968-12-01,101.129268368335
1969-01-01,101.170476130896
1969-02-01,101.201269557832
1969-03-01,101.201309750269
1969-04-01,101.166775919189
1969-05-01,101.100066340946
1969-06-01,101.002125934342
1969-07-01,100.867273143858
1969-08-01,100.687769653512
1969-09-01,100.461129840078
1969-10-01,100.20061717248
1969-11-01,99.9258342368576
1969-12-01,99.6560055877941
1970-01-01,99.4045741368467
1970-02-01,99.1805585158478
1970-03-01,98.9887079670265
1970-04-01,98.8277939131721
1970-05-01,98.6924781408752
1970-06-01,98.5729894381262
1970-07-01,98.4530065204023
1970-08-01,98.3219151068104
1970-09-01,98.1869690665839
1970-10-01,98.0860857657437
1970-11-01,98.0616136048551
1970-12-01,98.1319324422805
1971-01-01,98.2708016734772
1971-02-01,98.4274937345299
1971-03-01,98.5549943263599
1971-04-01,98.6369167577981
1971-05-01,98.6745816790806
1971-06-01,98.6771346043636
1971-07-01,98.6546947381882
1971-08-01,98.6196224678472
1971-09-01,98.5895123921473
1971-10-01,98.5910383867444
1971-11-01,98.6519028608771
1971-12-01,98.7905691592917
1972-01-01,99.0016221200095
1972-02-01,99.2671824062941
1972-03-01,99.5628778127396
1972-04-01,99.859781725313
1972-05-01,100.133473100304
1972-06-01,100.373018421245
1972-07-01,100.591555043948
1972-08-01,100.813267430682
1972-09-01,101.061689285973
1972-10-01,101.347669546905
1972-11-01,101.670412970857
1972-12-01,102.015693306679
1973-01-01,102.351265588576
1973-02-01,102.637729877634
1973-03-01,102.840255214102
1973-04-01,102.943943774985
1973-05-01,102.947386152999
1973-06-01,102.863083830323
1973-07-01,102.724859177239
1973-08-01,102.567921261341
1973-09-01,102.413083651939
1973-10-01,102.252680908661
1973-11-01,102.067258223472
1973-12-01,101.842539793997
1974-01-01,101.587998277287
1974-02-01,101.32085579957
1974-03-01,101.052479340098
1974-04-01,100.775979932642
1974-05-01,100.476715038417
1974-06-01,100.143257850234
1974-07-01,99.7798172460289
1974-08-01,99.3969890642617
1974-09-01,99.0048310513911
1974-10-01,98.6075074248226
1974-11-01,98.2100051807555
1974-12-01,97.8250789587218
1975-01-01,97.4800641801262
1975-02-01,97.2064852551921
1975-03-01,97.0271166461366
1975-04-01,96.9515643829523
1975-05-01,96.9758438263776
1975-06-01,97.0876284668714
1975-07-01,97.2639721536659
1975-08-01,97.4820113448274
1975-09-01,97.7248321034214
1975-10-01,97.9841841969934
1975-11-01,98.2545786257608
