类别：旅游

周,飞机: (美国),旅行社: (美国)
2021-01-03,44,5
2021-01-10,43,5
2021-01-17,42,5
2021-01-24,40,5
2021-01-31,39,5
2021-02-07,45,4
2021-02-14,45,5
2021-02-21,55,6
2021-02-28,51,6
2021-03-07,54,6
2021-03-14,58,7
2021-03-21,57,6
2021-03-28,58,7
2021-04-04,57,8
2021-04-11,57,7
2021-04-18,60,7
2021-04-25,57,7
2021-05-02,57,8
2021-05-09,61,7
2021-05-16,62,8
2021-05-23,68,8
2021-05-30,67,8
2021-06-06,67,8
2021-06-13,71,8
2021-06-20,71,9
2021-06-27,70,9
2021-07-04,74,9
2021-07-11,72,8
2021-07-18,72,8
2021-07-25,67,8
2021-08-01,64,7
2021-08-08,61,6
2021-08-15,67,6
2021-08-22,58,6
2021-08-29,54,6
2021-09-05,58,6
2021-09-12,55,6
2021-09-19,53,6
2021-09-26,54,6
2021-10-03,57,6
2021-10-10,60,7
2021-10-17,55,7
2021-10-24,56,7
2021-10-31,55,6
2021-11-07,55,7
2021-11-14,59,7
2021-11-21,58,5
2021-11-28,56,6
2021-12-05,55,6
2021-12-12,60,6
2021-12-19,61,5
2021-12-26,58,6
2022-01-02,59,8
2022-01-09,53,7
2022-01-16,50,7
2022-01-23,53,8
2022-01-30,52,8
2022-02-06,57,8
2022-02-13,59,9
2022-02-20,64,10
2022-02-27,64,9
2022-03-06,70,10
2022-03-13,67,9
2022-03-20,70,10
2022-03-27,61,9
2022-04-03,62,9
2022-04-10,66,9
2022-04-17,79,9
2022-04-24,65,10
2022-05-01,62,9
2022-05-08,68,8
2022-05-15,69,9
2022-05-22,70,8
2022-05-29,73,9
2022-06-05,74,9
2022-06-12,74,9
2022-06-19,77,9
2022-06-26,70,11
2022-07-03,77,9
2022-07-10,79,10
2022-07-17,76,10
2022-07-24,72,9
2022-07-31,73,10
2022-08-07,70,9
2022-08-14,70,9
2022-08-21,66,10
2022-08-28,67,9
2022-09-04,65,8
2022-09-11,62,8
2022-09-18,61,8
2022-09-25,55,8
2022-10-02,59,8
2022-10-09,60,8
