"car","cola","electric","price","infla","motor","M2SL","cpi_f"
0.395833333333333,0.037037037037037,0.0857142857142857,0.5,0.0481927710843374,0.08,0,0
0.4375,0.037037037037037,0.0857142857142857,0.263157894736842,0.120481927710843,0.26,0.00533570475767008,0.00149736108640217
0.458333333333333,0.111111111111111,0.0142857142857143,0.131578947368421,0.072289156626506,0.34,0.0123610493552689,0.00893969044653947
0.458333333333333,0.0740740740740741,0.0142857142857143,0.131578947368421,0.0963855421686747,0.44,0.015181350441466,0.00889521437466635
0.479166666666667,0.148148148148148,0.0428571428571429,0.157894736842105,0.072289156626506,0.48,0.021978021978022,0.0133872976338729
0.479166666666667,0.0740740740740741,0.142857142857143,0.157894736842105,0.0120481927710843,0.56,0.0297783141713777,0.0197770266263417
0.5625,0,0.185714285714286,0.184210526315789,0.0240963855421687,0.48,0.0341485104490884,0.0249807270355216
0.583333333333333,0,0.142857142857143,0.157894736842105,0.0240963855421687,0.44,0.0405513561582924,0.0302140781592834
0.5,0.037037037037037,0.0714285714285714,0.0526315789473684,0.0602409638554217,0.32,0.0440068601918312,0.0282571309968567
0.354166666666667,0.037037037037037,0.0428571428571429,0,0.0963855421686747,0.2,0.0457727243854411,0.0388869121745833
0.375,0.037037037037037,0.0142857142857143,0.0263157894736842,0.0843373493975904,0.24,0.0474369561074763,0.053564015892783
0.3125,0,0.0285714285714286,0.0263157894736842,0.0602409638554217,0.08,0.062326113193165,0.0630374192018029
0.270833333333333,0.037037037037037,0.0714285714285714,0.105263157894737,0.0602409638554217,0.1,0.0714730356348852,0.0744825950305402
0.3125,0.0740740740740741,0.0571428571428571,0,0.0843373493975904,0.16,0.0767452200978211,0.0808426733084264
0.4375,0.0740740740740741,0,0.0263157894736842,0.0963855421686747,0.34,0.0816235787334053,0.0756537982565381
0.416666666666667,0.0740740740740741,0.0428571428571429,0.0789473684210526,0.108433734939759,0.62,0.0854729085942958,0.0825624147541958
0.395833333333333,0.185185185185185,0.0428571428571429,0.105263157894737,0.0843373493975904,0.52,0.0970971225306484,0.0838225701239399
0.4375,0.0740740740740741,0.114285714285714,0.210526315789474,0.0120481927710843,0.58,0.112634186622626,0.0856905651426195
0.4375,0.0740740740740741,0.128571428571429,0.157894736842105,0.0240963855421687,0.5,0.122670393190624,0.0886111605289684
0.416666666666667,0.0740740740740741,0.185714285714286,0.0789473684210526,0,0.4,0.133595883884901,0.0973729466880149
0.416666666666667,0.037037037037037,0.171428571428571,0.0263157894736842,0.0481927710843374,0.32,0.14439433398971,0.106134732847061
0.354166666666667,0.037037037037037,0.0571428571428571,0.0263157894736842,0.0602409638554217,0.1,0.162103792161596,0.115029947221728
0.333333333333333,0.037037037037037,0.0428571428571429,0.0263157894736842,0.0843373493975904,0.02,0.175531982468399,0.122783609084979
0.291666666666667,0.037037037037037,0.0714285714285714,0.0526315789473684,0.0602409638554217,0,0.184323191259607,0.133620945264781
0.270833333333333,0,0.0714285714285714,0.0789473684210526,0.0481927710843374,0.04,0.194829448008639,0.144814090019569
0.479166666666667,0.0740740740740741,0.171428571428571,0.315789473684211,0.0843373493975904,0.06,0.202058057549387,0.155295617624384
0.0625,0.0740740740740741,0.171428571428571,0.315789473684211,0.0602409638554217,0.06,0.269376865908658,0.209600901381723
0,0.0740740740740741,0.142857142857143,0.157894736842105,0.0843373493975904,0.26,0.398183319570603,0.234863310205776
0.354166666666667,0.259259259259259,0.214285714285714,0.184210526315789,0.072289156626506,0.52,0.503970018420886,0.25561881041333
0.5,0.148148148148148,0.385714285714286,0.236842105263158,0.0240963855421687,0.56,0.541332655783523,0.2406600249066
0.520833333333333,0.148148148148148,0.414285714285714,0.157894736842105,0.036144578313253,0.5,0.56019818331957,0.245715471742869
0.458333333333333,0.111111111111111,0.428571428571429,0.263157894736842,0.036144578313253,0.42,0.57031061424125,0.248072703552156
0.4375,0.148148148148148,0.328571428571429,0.105263157894737,0.0602409638554217,0.28,0.597980054627454,0.256715886852873
0.4375,0.259259259259259,0.385714285714286,0.105263157894737,0.072289156626506,0.26,0.618370069237121,0.25827254936844
0.270833333333333,0.185185185185185,0.342857142857143,0.105263157894737,0.0481927710843374,0.18,0.648110271231658,0.275573741327166
0.270833333333333,0.185185185185185,0.371428571428571,0.289473684210526,0.0602409638554217,0.02,0.66780156259925,0.281785566032141
0.4375,0.148148148148148,0.4,0.631578947368421,0.0963855421686747,0.04,0.69925681255161,0.286900314297574
0.5625,0.703703703703704,1,0.868421052631579,0.192771084337349,0.24,0.730089563615575,0.291081065053668
0.541666666666667,0.444444444444444,0.4,0.473684210526316,0.180722891566265,0.42,0.760414152321667,0.303445413034454
0.666666666666667,0.481481481481481,0.514285714285714,0.736842105263158,0.144578313253012,0.58,0.793050879756082,0.319901559627587
0.770833333333333,0.37037037037037,0.5,1,0.349397590361446,0.7,0.832179381312329,0.350130463144161
0.645833333333333,0.407407407407407,0.557142857142857,0.578947368421053,0.228915662650602,0.68,0.837438861716318,0.376489948407756
0.583333333333333,0.296296296296296,0.571428571428571,0.421052631578947,0.156626506024096,0.54,0.857155561201804,0.393717013580028
0.583333333333333,0.222222222222222,0.571428571428571,0.342105263157895,0.108433734939759,0.54,0.885104490884838,0.430068789657831
0.458333333333333,0.185185185185185,0.671428571428571,0.263157894736842,0.132530120481928,0.32,0.901683287810455,0.469148431477198
0.520833333333333,0.259259259259259,0.914285714285714,0.5,0.27710843373494,0.26,0.924296512735819,0.502653738955108
0.5625,0.296296296296296,0.842857142857143,0.552631578947368,0.421686746987952,0.14,0.950390649812615,0.528894621360375
0.375,0.333333333333333,0.471428571428571,0.368421052631579,0.325301204819277,0.16,0.96826526075081,0.564134495641344
0.583333333333333,0.481481481481481,0.371428571428571,0.394736842105263,0.44578313253012,0.18,0.98856634694785,0.606742572495997
0.708333333333333,0.814814814814815,0.5,0.605263157894737,0.518072289156627,0.32,0.996023629549641,0.646785862539287
1,0.814814814814815,0.542857142857143,0.789473684210526,0.590361445783133,0.88,1,0.682129514321295
0.791666666666667,0.740740740740741,0.4,0.289473684210526,0.63855421686747,0.66,0.987867623705774,0.7306529087351
0.791666666666667,1,0.585714285714286,0.552631578947368,0.698795180722892,0.82,0.988477418535222,0.775469963826128
0.770833333333333,0.62962962962963,0.757142857142857,0.710526315789474,0.879518072289157,1,0.983179825954392,0.824393642886793
0.791666666666667,0.666666666666667,0.742857142857143,0.526315789473684,0.674698795180723,0.72,0.98683859493108,0.862050050406215
0.6875,0.666666666666667,0.828571428571429,0.421052631578947,1,0.6,0.986305024455314,0.8977643361205
0.5625,0.62962962962963,0.757142857142857,0.289473684210526,0.674698795180723,0.44,0.969967604649685,0.929342347150566
0.5,0.62962962962963,0.442857142857143,0.131578947368421,0.855421686746988,0.34,0.958813440894366,0.955197770266264
0.375,0.444444444444444,0.342857142857143,0.263157894736842,0.614457831325301,0.14,0.951102077113638,0.976175650833185
0.479166666666667,0.407407407407407,0.371428571428571,0.157894736842105,0.481927710843373,0.06,0.932376294226005,1
