,Unnamed: 0,DATE,M2SL
0,0,2018-01-01,
1,1,2018-02-01,0.003028511270388279
2,2,2018-03-01,0.0039754999928109935
3,3,2018-04-01,0.0015896315921377635
4,4,2018-05-01,0.0038247889216955766
5,5,2018-06-01,0.004372845625729926
6,6,2018-07-01,0.002439266518230676
7,7,2018-08-01,0.003565112824503114
8,8,2018-09-01,0.0019171941300026862
9,9,2018-10-01,0.0009778678260379259
10,10,2018-11-01,0.0009206873528482262
11,11,2018-12-01,0.008229412425570182
12,12,2019-01-01,0.0050143466027801065
13,13,2019-02-01,0.002875793441805108
14,14,2019-03-01,0.002653344665326296
15,15,2019-04-01,0.002088114288077092
16,16,2019-05-01,0.006292552094078863
17,17,2019-06-01,0.008358106953698874
18,18,2019-07-01,0.005354189822972755
19,19,2019-08-01,0.005797570413515141
20,20,2019-09-01,0.005697127307336514
21,21,2019-10-01,0.009290360417999688
22,22,2019-11-01,0.006979569736268676
23,23,2019-12-01,0.004537734673670135
24,24,2020-01-01,0.00539848946739685
25,25,2020-02-01,0.0036943733849290616
26,26,2020-03-01,0.03427843220969429
27,27,2020-04-01,0.06341393242685411
28,28,2020-05-01,0.04897515071313041
29,29,2020-06-01,0.016489862743338968
30,30,2020-07-01,0.008191160166139966
31,31,2020-08-01,0.004355009902723639
32,32,2020-09-01,0.011864425245404986
33,33,2020-10-01,0.008640552995391682
34,34,2020-11-01,0.012494862748656299
35,35,2020-12-01,0.008170882138978763
36,36,2021-01-01,0.01294654061741829
37,37,2021-02-01,0.012528132807499093
38,38,2021-03-01,0.012169196180493724
39,39,2021-04-01,0.0129395883911394
40,40,2021-05-01,0.015315230200838359
41,41,2021-06-01,0.0020275531742959263
42,42,2021-07-01,0.007585495672064235
43,43,2021-08-01,0.010671685592739344
44,44,2021-09-01,0.006263408734215492
45,45,2021-10-01,0.008490017075427625
46,46,2021-11-01,0.009714431653723654
47,47,2021-12-01,0.006590410881906594
48,48,2022-01-01,0.007436051354357209
49,49,2022-02-01,0.0027113539679533005
50,50,2022-03-01,0.00144183818245458
51,51,2022-04-01,-0.0043928849064154285
52,52,2022-05-01,0.00022176841832921568
53,53,2022-06-01,-0.0019261859670193227
54,54,2022-07-01,0.0013328828682899196
55,55,2022-08-01,-0.00019412001238661158
56,56,2022-09-01,-0.005944923931786028
57,57,2022-10-01,-0.004083094222747219
58,58,2022-11-01,-0.0028343956480120225
59,59,2022-12-01,-0.006902429430385548
