DATE,TDSP
2018-01-01,9.876377
2018-04-01,9.82994
2018-07-01,9.807417
2018-10-01,9.789796
2019-01-01,9.775563
2019-04-01,9.808918
2019-07-01,9.817696
2019-10-01,9.813757
2020-01-01,9.746677
2020-04-01,8.789625
2020-07-01,9.102226
2020-10-01,9.321962
2021-01-01,8.327819
2021-04-01,9.038762
2021-07-01,9.137174
2021-10-01,9.267404
2022-01-01,9.534599
2022-04-01,9.628027
2022-07-01,9.747424
